k,omega_B2_caseA_mV0,omega_B2_caseA_mV1,omega_B2_caseA_mV5,omega_B2_caseA_mV20,omega_B2_caseB_mV0,omega_B2_caseB_mV1,omega_B2_caseB_mV5,omega_B2_caseB_mV20
2.002715282559350447e-03,2.002714780317521159e-03,2.002714780317525062e-03,2.002714779430559214e-03,2.002714781462813353e-03,2.002714780317521159e-03,2.228415244566467421e-03,3.892578489112319927e-03,4.807311333677261912e-03
2.055133635275051534e-03,2.055133092837850041e-03,2.055133092557186961e-03,2.055133092557199104e-03,2.055133091438009294e-03,2.055133092837850041e-03,2.286740954339656125e-03,3.994461426425292144e-03,4.933136181643310060e-03
2.108923967185876054e-03,2.108923380917921298e-03,2.108923381085346833e-03,2.108923381506512974e-03,2.108923376031519685e-03,2.108923380917921298e-03,2.346593257665480648e-03,4.099011010264398333e-03,5.062254319889012387e-03
2.164122187984028611e-03,2.164121554420282006e-03,2.164121554397002885e-03,2.164121554807433689e-03,2.164121554807334376e-03,2.164121554420282006e-03,2.408012110940029905e-03,4.206297035480231934e-03,5.194751952143221961e-03
2.220765147249138208e-03,2.220764463060850586e-03,2.220764462675123979e-03,2.220764462817336610e-03,2.220764463639007032e-03,2.220764463060850586e-03,2.471038516397594878e-03,4.316391125140853560e-03,5.330717529506780877e-03
2.278890659048537527e-03,2.278889919381328101e-03,2.278889919585946108e-03,2.278889919926996646e-03,2.278889922265449428e-03,2.278889919381328101e-03,2.535714548869654264e-03,4.429366775203869531e-03,5.470241821150611736e-03
2.338537527181418219e-03,2.338536727881306877e-03,2.338536727802395174e-03,2.338536727807445821e-03,2.338536732220361167e-03,2.338536727881306877e-03,2.602083385080301240e-03,4.545299409090641611e-03,5.613417971746242387e-03
2.399745571083718079e-03,2.399744707564461545e-03,2.399744706824219476e-03,2.399744707194376072e-03,2.399744706634488432e-03,2.399744707564461545e-03,2.670189331770946983e-03,4.664266419567798284e-03,5.760341563644180360e-03
2.462555652411032268e-03,2.462554719116433980e-03,2.462554719088078190e-03,2.462554718918474276e-03,2.462554721623543951e-03,2.462554719116433980e-03,2.740077854508262811e-03,4.786347227397175566e-03,5.911110681283115661e-03
2.527009702317299569e-03,2.527008693722436559e-03,2.527008693735489052e-03,2.527008694077363150e-03,2.527008696186266046e-03,2.527008693722436559e-03,2.811795609970567725e-03,4.911623332717391342e-03,6.065825973228525063e-03
2.593150749447468290e-03,2.593149659780927263e-03,2.593149659571050876e-03,2.593149659438468996e-03,2.593149658770722756e-03,2.593149659780927263e-03,2.885390475682183143e-03,5.040178365362440148e-03,6.224590730750867267e-03
2.661022948662832184e-03,2.661021770916916634e-03,2.661021770997393926e-03,2.661021771371269336e-03,2.661021770394801731e-03,2.661021770916916634e-03,2.960911581198494378e-03,5.172098150266940357e-03,6.387510938978696769e-03
2.730671610518214595e-03,2.730670338087179926e-03,2.730670338087185563e-03,2.730670337833964942e-03,2.730670337733512310e-03,2.730670338087179926e-03,3.038409343434796822e-03,5.307470752534967397e-03,6.554695362656636631e-03
2.802143231510677811e-03,2.802141856349991099e-03,2.802141856336386096e-03,2.802141856326710676e-03,2.802141855658358584e-03,2.802141856349991099e-03,3.117935498575597538e-03,5.446386545327895796e-03,6.726255611505384951e-03
2.875485525119948500e-03,2.875484039204289754e-03,2.875484039206971203e-03,2.875484038976680156e-03,2.875484029710348097e-03,2.875484039204289754e-03,3.199543135924377661e-03,5.588938267121555670e-03,6.902306215904482206e-03
2.950747453661287881e-03,2.950745847964952873e-03,2.950745847954275650e-03,2.950745847998790389e-03,2.950745848202616060e-03,2.950745847964952873e-03,3.283286735009223901e-03,5.735221081680855204e-03,7.082964707458717230e-03
3.027979260972066093e-03,3.027977525748824523e-03,3.027977526042158456e-03,3.027977525961338557e-03,3.027977523109091039e-03,3.027977525748824523e-03,3.369222201129878219e-03,5.885332647337548212e-03,7.268351689937325305e-03
3.107232505953861409e-03,3.107230631021584699e-03,3.107230630988551227e-03,3.107230630760564327e-03,3.107230636477487356e-03,3.107230631021584699e-03,3.457406903151078771e-03,6.039373173411333694e-03,7.458590923151198031e-03
3.188560096992481326e-03,3.188558070825953800e-03,3.188558071021451498e-03,3.188558070952872674e-03,3.188558068514745717e-03,3.188558070825953800e-03,3.547899710582838421e-03,6.197445496568235526e-03,7.653809409653866518e-03
3.272016327278879765e-03,3.272014137821111467e-03,3.272014137852746751e-03,3.272014137797234299e-03,3.272014138248702589e-03,3.272014137821111467e-03,3.640761034571100060e-03,6.359655142668802635e-03,7.854137475871734997e-03
3.357656911054548738e-03,3.357654545205762328e-03,3.357654545236374560e-03,3.357654545867248385e-03,3.357654544884169315e-03,3.357654545205762328e-03,3.736052866934060687e-03,6.526110399654736285e-03,8.059708856039272951e-03
3.445539020805590390e-03,3.445536464152916534e-03,3.445536464273651553e-03,3.445536464217569678e-03,3.445536463631861113e-03,3.445536464152916534e-03,3.833838822133921274e-03,6.696922390761077259e-03,8.270660788647878764e-03
3.535721325430285066e-03,3.535718562863720670e-03,3.535718562747061384e-03,3.535718563124091822e-03,3.535718561975046553e-03,3.535718562863720670e-03,3.934184179215619200e-03,6.872205146613180951e-03,8.487134101717169754e-03
3.628264029405650626e-03,3.628261044193777790e-03,3.628261044164854746e-03,3.628261044288980715e-03,3.628261043995638542e-03,3.628261044193777790e-03,4.037155926344256247e-03,7.052075683597096994e-03,8.709273308576551478e-03
3.723228912979129664e-03,3.723225687143426939e-03,3.723225686964532280e-03,3.723225687178823972e-03,3.723225686189813449e-03,3.723225687143426939e-03,4.142822804513195643e-03,7.236654079175441727e-03,8.937226708714409579e-03
3.820679373412240801e-03,3.820675887625783144e-03,3.820675887393346678e-03,3.820675887626137895e-03,3.820675887328151867e-03,3.820675887625783144e-03,4.251255353827708243e-03,7.426063554924368718e-03,9.171146479165876927e-03
3.920680467303724534e-03,3.920676700950948002e-03,3.920676700568706888e-03,3.920676701404425535e-03,3.920676700272041418e-03,3.920676700950948002e-03,4.362525961284524981e-03,7.620430557166207354e-03,9.411188780825889208e-03
4.023298954020443179e-03,4.023294884101805829e-03,4.023294883936267240e-03,4.023294883715809039e-03,4.023294883757044284e-03,4.023294884101805829e-03,4.476708907021187574e-03,7.819884841313852822e-03,9.657513863759759412e-03
4.128603340265024277e-03,4.128598941682687373e-03,4.128598942328112927e-03,4.128598941898328246e-03,4.128598938886958447e-03,4.128598941682687373e-03,4.593880416323375786e-03,8.024559559614312040e-03,9.910286172461977780e-03
4.236663925809998864e-03,4.236659173238916526e-03,4.236659173045263273e-03,4.236659172906255544e-03,4.236659173659227881e-03,4.236659173238916526e-03,4.714118709438976963e-03,8.234591349112559480e-03,1.016967445215262271e-02
4.347552850428975692e-03,4.347547714539019316e-03,4.347547714621207045e-03,4.347547714519677149e-03,4.347547714218923803e-03,4.347547714539019316e-03,4.837504053431776647e-03,8.450120422080473204e-03,1.043585186755734487e-02
4.461344142056163607e-03,4.461338592254423911e-03,4.461338592328209507e-03,4.461338592528921350e-03,4.461338591770805558e-03,4.461338592254423911e-03,4.964118816250757092e-03,8.671290662050107345e-03,1.070899611401471795e-02
4.578113766206418599e-03,4.578107768768991705e-03,4.578107768744838282e-03,4.578107769133640120e-03,4.578107770298369024e-03,4.578107768768991705e-03,5.094047521099301715e-03,8.898249717905591313e-03,1.098928954106212670e-02
4.697939676688780465e-03,4.697933196438757245e-03,4.697933196060690743e-03,4.697933196534273721e-03,4.697933191241379994e-03,4.697933196438757245e-03,5.227376904328261305e-03,9.131149102463076081e-03,1.127691926675312636e-02
4.820901867647375653e-03,4.820894865008958606e-03,4.820894864842513623e-03,4.820894865027785560e-03,4.820894865160092052e-03,4.820894865008958606e-03,5.364195971288019185e-03,9.370144294237948632e-03,1.157207731029515768e-02
4.947082426964415428e-03,4.947074859909149185e-03,4.947074859740627738e-03,4.947074859427648928e-03,4.947074860253438885e-03,4.947074859909149185e-03,5.504596057325827733e-03,9.615394842546214418e-03,1.187496071480453712e-02
5.076565591060948346e-03,5.076557414013787434e-03,5.076557414220524839e-03,5.076557414015243734e-03,5.076557413316433801e-03,5.076557414013787434e-03,5.648670888059090407e-03,9.867064469891013295e-03,1.218577168093545361e-02
5.209437801131946294e-03,5.209428965587150490e-03,5.209428965263105012e-03,5.209428965290443386e-03,5.209428964609667638e-03,5.209428965587150490e-03,5.796516641801511931e-03,1.012532118592789944e-02,1.250471770102450780e-02
5.345787760853266957e-03,5.345778212844463223e-03,5.345778212844732105e-03,5.345778212846856274e-03,5.345778212828673770e-03,5.345778212844463223e-03,5.948232014312759657e-03,1.039033739662116249e-02,1.283201170012817499e-02
5.485706495599018337e-03,5.485696178048859485e-03,5.485696177882635680e-03,5.485696177560788096e-03,5.485696176186138570e-03,5.485696178048859485e-03,6.103918283950901698e-03,1.066229002108967129e-02,1.316787217484230790e-02
5.629287413208858802e-03,5.629276264414758216e-03,5.629276264144451869e-03,5.629276264417210247e-03,5.629276264103405709e-03,5.629276264414758216e-03,6.263679380041155091e-03,1.094136060809081622e-02,1.351252334025161185e-02
5.776626366345795696e-03,5.776614318738384005e-03,5.776614318770012350e-03,5.776614318906286155e-03,5.776614318446337236e-03,5.776614318738384005e-03,6.427621951135332502e-03,1.122773545909327986e-02,1.386619528182872312e-02
5.927821716486115881e-03,5.927808697927581735e-03,5.927808697965034415e-03,5.927808697748429036e-03,5.927808698018793496e-03,5.927808697927581735e-03,6.595855437680095586e-03,1.152160574988674198e-02,1.422912410577873051e-02
6.082974399584170980e-03,6.082960331631045645e-03,6.082960331796758574e-03,6.082960332227832154e-03,6.082960331646493357e-03,6.082960331631045645e-03,6.768492143748761243e-03,1.182316766154654225e-02,1.460155209739780018e-02
6.242187993455836428e-03,6.242172792015707183e-03,6.242172791929390813e-03,6.242172791972776247e-03,6.242172789906207976e-03,6.242172792015707183e-03,6.945647312265670892e-03,1.213262250817956009e-02,1.498372788739985896e-02
6.405568786925656954e-03,6.405552360303109517e-03,6.405552360164850322e-03,6.405552360313420714e-03,6.405552360275383432e-03,6.405552360303109517e-03,7.127439202630431701e-03,1.245017687444510690e-02,1.537590660776685068e-02
6.573225850783811705e-03,6.573208100233652630e-03,6.573208100455831676e-03,6.573208100730941472e-03,6.573208100496805845e-03,6.573208100233652630e-03,7.313989168560587270e-03,1.277604275050119378e-02,1.577835007239929838e-02
6.745271110600287341e-03,6.745251929341953938e-03,6.745251929342479559e-03,6.745251929518394397e-03,6.745251929450073181e-03,6.745251929341953938e-03,7.505421739652662003e-03,1.311043767526990159e-02,1.619132694870471789e-02
6.921819421444865179e-03,6.921798694456779248e-03,6.921798694553616717e-03,6.921798694448349359e-03,6.921798694920089194e-03,6.921798694456779248e-03,7.701864705037129478e-03,1.345358488123231909e-02,1.661511293184184460e-02
7.102988644562797417e-03,7.102966247078243769e-03,7.102966247078916842e-03,7.102966247086090791e-03,7.102966246916045390e-03,7.102966247078243769e-03,7.903449196735228693e-03,1.380571344321660995e-02,1.704999093698679469e-02
7.288899726057367599e-03,7.288875523498646557e-03,7.288875523518163931e-03,7.288875523282599758e-03,7.288875523382026302e-03,7.288875523498646557e-03,8.110309779368060981e-03,1.416705843158583798e-02,1.749625128328040000e-02
7.479676777631861020e-03,7.479650624494971374e-03,7.479650624495846542e-03,7.479650624416072681e-03,7.479650626649756405e-03,7.479650624494971374e-03,8.322584538607851953e-03,1.453786106871431463e-02,1.795419188638440119e-02
7.675447159444847255e-03,7.675418898536908764e-03,7.675418898519625714e-03,7.675418898659088808e-03,7.675418901270983016e-03,7.675418898536908764e-03,8.540415173724025602e-03,1.491836889077565072e-02,1.842411846211938417e-02
7.876341565134080402e-03,7.876311026592117820e-03,7.876311026561845161e-03,7.876311026594589801e-03,7.876311024586361148e-03,7.876311026592117820e-03,8.763947091837233361e-03,1.530883591187395983e-02,1.890634472653959092e-02
8.082494109065797155e-03,8.082461109329100446e-03,8.082461109336989968e-03,8.082461109382287068e-03,8.082461108246794326e-03,8.082461109329100446e-03,8.993329505186638609e-03,1.570952279420156916e-02,1.940119260755913261e-02
8.294042415867629997e-03,8.294006756542886966e-03,8.294006756544345868e-03,8.294006756559921950e-03,8.294006756786258261e-03,8.294006756542886966e-03,9.228715530474685194e-03,1.612069702242734798e-02,1.990899245826028424e-02
8.511127712304944470e-03,8.511089179103483240e-03,8.511089179244455544e-03,8.511089179366531504e-03,8.511089177710593964e-03,8.511089179103483240e-03,9.470262291212540318e-03,1.654263308114851949e-02,2.043008327937840055e-02
8.733894921561888292e-03,8.733853282816717717e-03,8.733853282825733075e-03,8.733853282894200876e-03,8.733853281761318893e-03,8.733853282816717717e-03,9.718131022150945653e-03,1.697561263898168804e-02,2.096481294359248126e-02
8.962492759990144456e-03,8.962447765455084855e-03,8.962447765457235913e-03,8.962447765381067674e-03,8.962447767975495819e-03,8.962447765455084855e-03,9.972487177076591602e-03,1.741992473634230640e-02,2.151353842755918469e-02
9.197073836389933060e-03,9.197025215616865673e-03,9.197025215593871914e-03,9.197025216014568377e-03,9.197025214875564555e-03,9.197025215616865673e-03,1.023350053928151135e-02,1.787586597766493285e-02,2.207662605480995369e-02
9.437794753889571647e-03,9.437742214600673002e-03,9.437742214618060135e-03,9.437742214710111502e-03,9.437742213071191599e-03,9.437742214600673002e-03,1.050134533424051074e-02,1.834374073032418034e-02,2.265445173400437023e-02
9.684816214491581352e-03,9.684759440928893473e-03,9.684759440935931246e-03,9.684759440625653401e-03,9.684759441018694903e-03,9.684759440928893473e-03,1.077620034639597234e-02,1.882386132712999399e-02,2.324740121324931838e-02
9.938303126355158001e-03,9.938241777237939376e-03,9.938241777215986450e-03,9.938241777307833119e-03,9.938241780847801785e-03,9.938241777237939376e-03,1.105824903791713908e-02,1.931654827498228977e-02,2.385587033799473761e-02
1.019842471388661062e-02,1.019835842038330914e-02,1.019835842047013899e-02,1.019835842060536416e-02,1.019835842133617540e-02,1.019835842038330914e-02,1.134767967121329442e-02,1.982213046871653811e-02,2.448026531400521871e-02
1.046535463071126583e-02,1.046528299452022595e-02,1.046528299448595475e-02,1.046528299444739012e-02,1.046528299754152444e-02,1.046528299452022595e-02,1.164468543462915569e-02,2.034094541055781261e-02,2.512100297614282968e-02
1.073927107560225871e-02,1.073919366603186265e-02,1.073919366603955962e-02,1.073919366600938584e-02,1.073919366506140109e-02,1.073919366603186265e-02,1.194946457059601133e-02,2.087333943497180627e-02,2.577851107533638692e-02
1.102035691144361181e-02,1.102027326322195175e-02,1.102027326323121344e-02,1.102027326327642033e-02,1.102027326429384259e-02,1.102027326322195175e-02,1.226222050848710735e-02,2.141966794075500849e-02,2.645322855193228684e-02
1.130879978730699349e-02,1.130870939764100878e-02,1.130870939763619666e-02,1.130870939782582449e-02,1.130870939726324499e-02,1.130870939764100878e-02,1.258316199969885391e-02,2.198029562706332180e-02,2.714560583904089899e-02
1.160479226372368965e-02,1.160469458932608319e-02,1.160469458933589826e-02,1.160469458951551500e-02,1.160469458959407889e-02,1.160469458932608319e-02,1.291250325728712442e-02,2.255559673722409841e-02,2.785610515746991464e-02
1.190853194123537781e-02,1.190842639500301094e-02,1.190842639500051814e-02,1.190842639509553068e-02,1.190842639549429330e-02,1.190842639500301094e-02,1.325046409790712164e-02,2.314595530847945309e-02,2.858520082685975933e-02
1.222022159230956584e-02,1.222010753985644169e-02,1.222010753986658982e-02,1.222010754007923569e-02,1.222010753998631696e-02,1.222010753985644169e-02,1.359727008913184411e-02,2.375176542825515116e-02,2.933337958111576632e-02
1.254006929670772007e-02,1.253994605249182485e-02,1.253994605243253027e-02,1.253994605305136512e-02,1.253994605187254072e-02,1.253994605249182485e-02,1.395315269905795554e-02,2.437343149669306958e-02,3.010114089310869309e-02
1.286828858039647944e-02,1.286815540363566747e-02,1.286815540371782050e-02,1.286815540396224304e-02,1.286815540493356502e-02,1.286815540363566747e-02,1.431834945103031310e-02,2.501136849694991782e-02,3.088899730976056579e-02
1.320509855809467482e-02,1.320495464830743343e-02,1.320495464832237634e-02,1.320495464868347464e-02,1.320495464893683621e-02,1.320495464830743343e-02,1.469310408181893381e-02,2.566600227182478516e-02,3.169747479424666475e-02
1.355072407955133784e-02,1.355056857177221186e-02,1.355056857186320157e-02,1.355056857211003191e-02,1.355056857224569249e-02,1.355056857177221186e-02,1.507766670322674765e-02,2.633776980730975770e-02,3.252711307184576878e-02
1.390539587965231721e-02,1.390522783921335770e-02,1.390522783928387421e-02,1.390522783958594161e-02,1.390522783998289144e-02,1.390522783921335770e-02,1.547229396950642981e-02,2.702711952529245759e-02,3.337846599855109203e-02
1.426935073245574892e-02,1.426916914931628498e-02,1.426916914936729973e-02,1.426916914982198463e-02,1.426916914938306663e-02,1.426916914931628498e-02,1.587724924788152733e-02,2.773451158150835177e-02,3.425210192535681902e-02
1.464283160925918675e-02,1.464263539196830263e-02,1.464263539205401532e-02,1.464263539260362429e-02,1.464263539296435310e-02,1.464263539196830263e-02,1.629280279380562052e-02,2.846041817316281169e-02,3.514860407874826481e-02
1.502608784080393216e-02,1.502587581008290978e-02,1.502587581013493760e-02,1.502587581072255263e-02,1.502587581166944276e-02,1.502587581008290978e-02,1.671923193125283286e-02,2.920532385331022288e-02,3.606857095052844880e-02
1.541937528372482914e-02,1.541914616511585144e-02,1.541914616514826648e-02,1.541914616607022691e-02,1.541914616720428677e-02,1.541914616511585144e-02,1.715682123672727585e-02,2.996972585464456953e-02,3.701261669695457557e-02
1.582295649135667323e-02,1.582270890776025368e-02,1.582270890783136347e-02,1.582270890860997675e-02,1.582270890926101847e-02,1.582270890776025368e-02,1.760586272901180568e-02,3.075413442064930253e-02,3.798137154973451474e-02
1.623710088901123352e-02,1.623683335237732436e-02,1.623683335251506835e-02,1.623683335332824773e-02,1.623683335397343996e-02,1.623683335237732436e-02,1.806665606353992370e-02,3.155907314600964880e-02,3.897548223542279117e-02
1.666208495384192273e-02,1.666179585611714947e-02,1.666179585618736761e-02,1.666179585721004955e-02,1.666179585800209653e-02,1.666179585611714947e-02,1.853950873100736890e-02,3.238507932585038551e-02,3.999561240696403175e-02
1.709819239941616845e-02,1.709788000301914676e-02,1.709788000310567824e-02,1.709788000446469530e-02,1.709788000470988806e-02,1.709788000301914676e-02,1.902473626311824637e-02,3.323270431385805940e-02,4.104244308885349884e-02
1.754571436511872737e-02,1.754537679247218651e-02,1.754537679256632995e-02,1.754537679390248683e-02,1.754537679492397528e-02,1.754537679247218651e-02,1.952266244127939115e-02,3.410251389001444505e-02,4.211667312957144416e-02
1.800494961051236908e-02,1.800458483266019136e-02,1.800458483279921557e-02,1.800458483431431611e-02,1.800458483529555204e-02,1.800458483266019136e-02,2.003361951236714775e-02,3.499508863752415905e-02,4.321901966936588652e-02
1.847620471478567811e-02,1.847581053938882750e-02,1.847581053946891622e-02,1.847581054106825493e-02,1.847581054260774569e-02,1.847581053938882750e-02,2.055794840946265772e-02,3.591102433052258125e-02,4.435021861763231016e-02
1.895979428142116271e-02,1.895936833925151999e-02,1.895936833943701744e-02,1.895936834138036917e-02,1.895936834281350750e-02,1.895936833925151999e-02,2.109599897829944268e-02,3.685093233033916865e-02,4.551102514659673137e-02
1.945604114822022113e-02,1.945558087936279448e-02,1.945558087960908358e-02,1.945558088175378120e-02,1.945558088367623992e-02,1.945558087936279448e-02,2.164813021001807045e-02,3.781543999370297338e-02,4.670221419232517546e-02
1.996527660282527636e-02,1.996477924099894843e-02,1.996477924127264963e-02,1.996477924371386700e-02,1.996477924611681984e-02,1.996477924099894843e-02,2.221471047908691807e-02,3.880519109040246606e-02,4.792458097558113111e-02
2.048784060388288142e-02,2.048730315982727479e-02,2.048730316009912678e-02,2.048730316295677145e-02,2.048730316523382153e-02,2.048730315982727479e-02,2.279611778850818699e-02,3.982084623284539576e-02,4.917894152935555624e-02
2.102408200799548571e-02,2.102350125160405009e-02,2.102350125196015412e-02,2.102350125506833450e-02,2.102350125759853972e-02,2.102350125160405009e-02,2.339274001998089408e-02,4.086308331582346604e-02,5.046613324478898405e-02
2.157435880261333178e-02,2.157373124362944872e-02,2.157373124401532755e-02,2.157373124766038056e-02,2.157373125074735568e-02,2.157373124362944872e-02,2.400497519210182534e-02,4.193259796843381432e-02,5.178701543251774259e-02
2.213903834502200726e-02,2.213836021177650187e-02,2.213836021217529051e-02,2.213836021650158678e-02,2.213836021947372668e-02,2.213836021177650187e-02,2.463323172375608133e-02,4.303010401730870266e-02,5.314246989209248789e-02
2.271849760758515996e-02,2.271776482454252941e-02,2.271776482499769656e-02,2.271776482980234282e-02,2.271776483530104848e-02,2.271776482454252941e-02,2.527792870535552905e-02,4.415633396251013310e-02,5.453340150416843141e-02
2.331312342940609905e-02,2.331233159267657312e-02,2.331233159313272907e-02,2.331233159869334354e-02,2.331233160283195660e-02,2.331233159267657312e-02,2.593949617648931560e-02,4.531203946524610393e-02,5.596073883240335750e-02
2.392331277457632188e-02,2.392245712522765230e-02,2.392245712583464592e-02,2.392245713206178626e-02,2.392245713691839443e-02,2.392245712522765230e-02,2.661837541103361654e-02,4.649799184829415261e-02,5.742543474487740024e-02
2.454947299718330742e-02,2.454854839305942865e-02,2.454854839372129852e-02,2.454854840081504425e-02,2.454854840618311135e-02,2.454854839305942865e-02,2.731501920919431753e-02,4.771498261022061316e-02,5.892846704937623747e-02
2.519202211325460503e-02,2.519102299774357220e-02,2.519102299849122761e-02,2.519102300654883428e-02,2.519102301283820955e-02,2.519102299774357220e-02,2.802989219772281104e-02,4.896382395186917730e-02,6.047083914553860740e-02
2.585138907981950410e-02,2.585030944858123306e-02,2.585030944945912804e-02,2.585030945861135562e-02,2.585030946588103354e-02,2.585030944858123306e-02,2.876347113707143632e-02,5.024534931739734617e-02,6.205358069669963256e-02
2.652801408127506561e-02,2.652684744622412633e-02,2.652684744721023682e-02,2.652684745761488272e-02,2.652684746579843378e-02,2.652684744622412633e-02,2.951624523703548150e-02,5.156041394887556084e-02,6.367774831483198616e-02
2.722234882324713404e-02,2.722108817347376059e-02,2.722108817459490543e-02,2.722108818642742650e-02,2.722108819576303171e-02,2.722108817347376059e-02,3.028871648004812650e-02,5.290989545577958614e-02,6.534442626758923955e-02
2.793485683414285298e-02,2.793349459389092918e-02,2.793349459513951374e-02,2.793349460866643638e-02,2.793349461925297844e-02,2.793349459389092918e-02,3.108139995314506895e-02,5.429469439868170322e-02,6.705472720168792478e-02
2.866601377459592967e-02,2.866454175768370569e-02,2.866454175914709412e-02,2.866454177451263630e-02,2.866454178626939853e-02,2.866454175768370569e-02,3.189482418789758855e-02,5.571573488869441954e-02,6.880979288449365350e-02
2.941630775501118469e-02,2.941471711578373324e-02,2.941471711738775571e-02,2.941471713487612757e-02,2.941471714855952227e-02,2.941471711578373324e-02,3.272953150983062137e-02,5.717396520214976241e-02,7.061079496933983513e-02
3.018623966142039775e-02,3.018452084142791980e-02,3.018452084327754095e-02,3.018452086305278489e-02,3.018452087843880721e-02,3.018452084142791980e-02,3.358607839559599184e-02,5.867035841125141371e-02,7.245893577294830468e-02
3.097632348986700465e-02,3.097446616063000147e-02,3.097446616274497286e-02,3.097446618538735388e-02,3.097446620311366389e-02,3.097446616063000147e-02,3.446503584045130381e-02,6.020591303118716375e-02,7.435544908317492929e-02
3.178708668954283861e-02,3.178507969042230347e-02,3.178507969284449092e-02,3.178507971857856551e-02,3.178507973806595638e-02,3.178507969042230347e-02,3.536698973415985936e-02,6.178165368397004614e-02,7.630160097885661796e-02
3.261907051490601367e-02,3.261690178614147506e-02,3.261690178888930480e-02,3.261690181817178402e-02,3.261690184105905249e-02,3.261690178614147506e-02,3.629254124695455164e-02,6.339863177951171602e-02,7.829869067634977198e-02
3.347283038701504010e-02,3.347048689728428922e-02,3.347048690039203245e-02,3.347048693371863087e-02,3.347048695867773510e-02,3.347048689728428922e-02,3.724230722499188850e-02,6.505792621436304324e-02,8.034805139691081344e-02
3.434893626432033997e-02,3.434640393242300443e-02,3.434640393598480806e-02,3.434640397390582162e-02,3.434640400362563156e-02,3.434640393242300443e-02,3.821692059598259805e-02,6.676064408822290908e-02,8.245105125668306112e-02
3.524797302316073216e-02,3.524523663361920495e-02,3.524523663763645676e-02,3.524523668077707977e-02,3.524523671436377570e-02,3.524523663361920495e-02,3.921703078496793782e-02,6.850792143978808035e-02,8.460909417953539624e-02
3.617054084821891280e-02,3.616758395970173789e-02,3.616758396432598333e-02,3.616758401339158907e-02,3.616758405231269846e-02,3.616758395970173789e-02,4.024330414054345939e-02,7.030092400082132986e-02,8.682362083479859549e-02
3.711725563319655946e-02,3.711406048006320180e-02,3.711406048529457269e-02,3.711406054108119801e-02,3.711406058479890108e-02,3.711406048006320180e-02,4.129642437184297132e-02,7.214084796976931446e-02,8.909610959828551113e-02
3.808874939197656045e-02,3.808529677742353292e-02,3.808529678338636731e-02,3.808529684697901235e-02,3.808529689601459350e-02,3.808529677742353292e-02,4.237709299651595818e-02,7.402892080611420123e-02,9.142807754015139232e-02
3.908567068054689952e-02,3.908193986150468313e-02,3.908193986825841959e-02,3.908193994055964016e-02,3.908193999699752230e-02,3.908193986150468313e-02,4.348602979997157059e-02,7.596640204431341636e-02,9.382108143659192989e-02
4.010868502996774165e-02,4.010465359239200056e-02,4.010465360010706526e-02,4.010465368246457496e-02,4.010465374671144667e-02,4.010465359239200056e-02,4.462397330560710640e-02,7.795458412939738901e-02,9.627671880939310534e-02
4.115847539067095384e-02,4.115411911525761884e-02,4.115411912401290701e-02,4.115411921768522691e-02,4.115411929013004094e-02,4.115411911525761884e-02,4.579168125749104312e-02,7.999479327348998914e-02,9.879662899294568146e-02
4.223574258838844186e-02,4.223103530507801157e-02,4.223103531506184477e-02,4.223103542161404933e-02,4.223103550481913104e-02,4.223103530507801157e-02,4.698993111450215643e-02,8.208839033511827754e-02,1.013824942275510788e-01
4.334120579201388573e-02,4.333611922295531327e-02,4.333611923432553747e-02,4.333611935551252847e-02,4.333611945020150041e-02,4.333611922295531327e-02,4.821952055686121869e-02,8.423677172049504058e-02,1.040360407827530392e-01
4.447560299371010328e-02,4.447010658361724017e-02,4.447010659651429859e-02,4.447010673446936957e-02,4.447010684239192935e-02,4.447010658361724017e-02,4.948126800490089405e-02,8.644137030829660007e-02,1.067590401102819220e-01
4.563969150158251470e-02,4.563375223428751265e-02,4.563375224898765653e-02,4.563375240589229859e-02,4.563375252842790525e-02,4.563375223428751265e-02,5.077601315128549286e-02,8.870365639806845892e-02,1.095533100249681674e-01
4.683424844524773645e-02,4.682783064575041926e-02,4.682783066250478105e-02,4.682783084106600935e-02,4.682783098083054263e-02,4.682783064575041926e-02,5.210461750539869402e-02,9.102513868305349420e-02,1.124207159203049894e-01
4.806007129463472916e-02,4.805313641503598798e-02,4.805313643407144869e-02,4.805313663720185008e-02,4.805313679608243932e-02,4.805313641503598798e-02,5.346796495151780182e-02,9.340736524782770889e-02,1.153631720117619525e-01
4.931797839236480574e-02,4.931048478059733842e-02,4.931048480229071468e-02,4.931048503345954875e-02,4.931048521408096935e-02,4.931048478059733842e-02,5.486696232059777578e-02,9.585192459155257583e-02,1.183826426154060973e-01
5.060880950006605566e-02,5.060071215020738034e-02,5.060071217486249162e-02,5.060071243790623813e-02,5.060071264354699255e-02,5.060071215020738034e-02,5.630253997559371559e-02,9.836044667734931968e-02,1.214811434588975586e-01
5.193342635898672011e-02,5.192467664121688808e-02,5.192467666923888253e-02,5.192467696856665343e-02,5.192467720259785757e-02,5.192467664121688808e-02,5.777565241114356043e-02,1.009346040084228152e-01,1.246607430271067796e-01
5.329271326528194075e-02,5.328325863435797588e-02,5.328325866628721291e-02,5.328325900683844596e-02,5.328325927263736356e-02,5.328325863435797588e-02,5.928727886754808080e-02,1.035761127317462865e-01,1.279235639426438143e-01
