k,omega_B2_caseA_mV0,omega_B2_caseA_mV1,omega_B2_caseA_mV5,omega_B2_caseA_mV20,omega_B2_caseB_mV0,omega_B2_caseB_mV1,omega_B2_caseB_mV5,omega_B2_caseB_mV20
1.957682403208772120e-04,1.957682406292793602e-04,1.957682409764202147e-04,1.957682360923917845e-04,1.957682315555048594e-04,1.957682406292793602e-04,2.178307895232545199e-04,3.805050632926450542e-04,4.699214628593074571e-04
2.008922081464773900e-04,2.008922074797364220e-04,2.008922065519920227e-04,2.008922097086003795e-04,2.008922033390221748e-04,2.008922074797364220e-04,2.235322129303571575e-04,3.904642654291229972e-04,4.822210175461620228e-04
2.061502888712626002e-04,2.061502923777147275e-04,2.061502923777147546e-04,2.061502872391202622e-04,2.061503096113245575e-04,2.061502923777147275e-04,2.293828659963451978e-04,4.006841379632851115e-04,4.948424872839075634e-04
2.115459927182358161e-04,2.115459914007261296e-04,2.115459937009247083e-04,2.115460020979482633e-04,2.115460356860472809e-04,2.115459914007261296e-04,2.353866494399478907e-04,4.111715015948078414e-04,5.077943186009335015e-04
2.170829217857199716e-04,2.170829207200154266e-04,2.170829218955838854e-04,2.170829261683055746e-04,2.170829286164472260e-04,2.170829207200154266e-04,2.415475755675913327e-04,4.219333594837393125e-04,5.210851472933503842e-04
2.227647724520698074e-04,2.227647691831669452e-04,2.227647714314120466e-04,2.227647851314407883e-04,2.227647648927242967e-04,2.227647691831669452e-04,2.478697516419137571e-04,4.329768893984596752e-04,5.347238446270389601e-04
2.285953378433235234e-04,2.285953370603298449e-04,2.285953370603298991e-04,2.285953359632986062e-04,2.285953215188342371e-04,2.285953370603298449e-04,2.543574110913586310e-04,4.443094752922232128e-04,5.487195169325274121e-04
2.345785103654421714e-04,2.345785088419975793e-04,2.345785123667968198e-04,2.345785123667970366e-04,2.345785069939945733e-04,2.345785088419975793e-04,2.610148689391245439e-04,4.559386689288994388e-04,5.630815138677185572e-04
2.407182843028266505e-04,2.407182835461548799e-04,2.407182845010708493e-04,2.407182918804722199e-04,2.407183804332734336e-04,2.407182835461548799e-04,2.678465793716166242e-04,4.678722444230206507e-04,5.778193929876208846e-04
2.470187584848476279e-04,2.470187583705619853e-04,2.470187605488468816e-04,2.470187562364818549e-04,2.470187673723634055e-04,2.470187583705619853e-04,2.748571004159113592e-04,4.801181657481096003e-04,5.929430299218682240e-04
2.534841390221680190e-04,2.534841353335059045e-04,2.534841353335057419e-04,2.534841318296241494e-04,2.534841388373879306e-04,2.534841353335059045e-04,2.820511054473556138e-04,4.926846044016299419e-04,6.084625150829984326e-04
2.601187421146852340e-04,2.601187412875881626e-04,2.601187410144167032e-04,2.601187447401374984e-04,2.601187814461296396e-04,2.601187412875881626e-04,2.894334158870631962e-04,5.055799568136833295e-04,6.243882026112286023e-04
2.669269969329674517e-04,2.669269951528602486e-04,2.669269956854928888e-04,2.669269973492011225e-04,2.669270156500174970e-04,2.669269951528602486e-04,2.970089416250180025e-04,5.188128252793006330e-04,6.407307111955305810e-04
2.739134485751071584e-04,2.739134461460617496e-04,2.739134470666581937e-04,2.739134510098890267e-04,2.739134362284529689e-04,2.739134461460617496e-04,3.047827482338880123e-04,5.323920459641089510e-04,6.575009602803417791e-04
2.810827611009671795e-04,2.810827621304709187e-04,2.810827621304709187e-04,2.810827558107758801e-04,2.810827621304703224e-04,2.810827621304709187e-04,3.127600213118950459e-04,5.463266849732015045e-04,6.747101624949872157e-04
2.884397206458430020e-04,2.884397202987066199e-04,2.884397179892678469e-04,2.884397241477708622e-04,2.884397264297046187e-04,2.884397202987066199e-04,3.209460919094243663e-04,5.606260446681847823e-04,6.923697830416995942e-04
