eps,c,lambda
1.000000e-03,2.51121908,0.077939
1.211528e-03,2.51066579,0.084151
1.467799e-03,2.51002545,0.090897
1.778279e-03,2.50928440,0.098228
2.154435e-03,2.50842689,0.106201
2.610157e-03,2.50743479,0.114878
3.162278e-03,2.50628719,0.124330
3.831187e-03,2.50496006,0.134634
4.641589e-03,2.50342578,0.145877
5.623413e-03,2.50165269,0.158157
6.812921e-03,2.49960451,0.171583
8.254042e-03,2.49723974,0.186276
1.000000e-02,2.49451105,0.202374
1.211528e-02,2.49136450,0.220032
1.467799e-02,2.48773882,0.239425
1.778279e-02,2.48356456,0.260750
2.154435e-02,2.47876323,0.284232
2.610157e-02,2.47324639,0.310125
3.162278e-02,2.46691474,0.338722
3.831187e-02,2.45965717,0.370354
4.641589e-02,2.45134994,0.405403
5.623413e-02,2.44185583,0.444306
6.812921e-02,2.43102349,0.487569
8.254042e-02,2.41868695,0.535776
1.000000e-01,2.40466538,0.589605
