t,H32_M4,H16_M4,H32_M9,H16_M9,H32_M16,H16_M16,H32_ctrl,H16_ctrl
5.9,0.3925037,0.33556525,0.3856942,0.27524121,0.14258182,0.077421815,0.028343326,0.0073721509
6,0.39129826,0.33355423,0.3820458,0.29247731,0.13898609,0.08456962,0.025991322,0.0070919328
6.1,0.38706527,0.32838653,0.37984797,0.27880594,0.13915349,0.085013046,0.026775551,0.0075828609
6.2,0.38304052,0.32349504,0.3898585,0.28090398,0.14439349,0.085594103,0.026287243,0.0074401088
6.3,0.38002044,0.32167329,0.39078835,0.27940029,0.14288622,0.089503117,0.02774501,0.0073301213
6.4,0.38360483,0.3237154,0.39318206,0.28798827,0.13836388,0.087314643,0.027257254,0.0074172159
6.5,0.38102651,0.31677759,0.38402865,0.27497737,0.13469016,0.084518609,0.025939833,0.0064937241
6.6,0.37631482,0.30883288,0.38243848,0.27628629,0.13447245,0.082943847,0.027724781,0.006734935
6.7,0.37952473,0.30491111,0.38587522,0.27810189,0.13374783,0.080633362,0.027625135,0.0061741593
6.8,0.37797141,0.30119542,0.40058114,0.28361132,0.13095901,0.077530037,0.027422139,0.0071862352
6.9,0.37938027,0.2971213,0.39696791,0.28748257,0.12726618,0.074886374,0.027781793,0.0073576672
7,0.37363291,0.29595541,0.40738254,0.29944037,0.12111952,0.066592959,0.026484942,0.0065955411
7.1,0.37251464,0.29509397,0.4225783,0.3048729,0.12021797,0.072478761,0.027193406,0.0075804513
7.2,0.37298259,0.29641984,0.41006642,0.27901935,0.11491079,0.071521822,0.02645795,0.0069780445
7.3,0.37179864,0.29589884,0.39026425,0.28053783,0.11861402,0.070361375,0.027934972,0.0079488457
7.4,0.36967283,0.29610919,0.38171021,0.26986818,0.11257692,0.063545895,0.028144171,0.0074836868
7.5,0.369666,0.30003163,0.36865993,0.27728742,0.10678688,0.058056384,0.028147097,0.0072364319
7.6,0.37460871,0.30460132,0.35901453,0.25903818,0.1028231,0.056240087,0.027721542,0.0071908131
7.7,0.37280943,0.3052746,0.35414197,0.24226305,0.096613704,0.05709037,0.026358321,0.0075060683
7.8,0.38031174,0.31314479,0.36074224,0.25902621,0.10144091,0.056475443,0.027032907,0.0074539482
7.9,0.38003305,0.3156929,0.34953212,0.25062065,0.10062005,0.058901124,0.027162021,0.0073548683
8,0.3821924,0.31757111,0.33322164,0.21505543,0.10474507,0.054789342,0.027340777,0.0075522697
8.1,0.38630907,0.31884714,0.33668522,0.20231349,0.094774557,0.049915551,0.026632239,0.0065322065
8.2,0.38949854,0.32046587,0.33461421,0.1974175,0.097370854,0.055922869,0.026892696,0.0075364992
8.3,0.38220437,0.31843233,0.33170629,0.20102023,0.10597786,0.064976176,0.025617112,0.0071957418
8.4,0.39038421,0.32643304,0.34385273,0.22860562,0.10099211,0.059844621,0.025796206,0.0070990246
8.5,0.39768732,0.33370689,0.33617635,0.23662357,0.094535366,0.049527307,0.024670917,0.0068242761
8.6,0.39655245,0.34068129,0.33597152,0.23339814,0.091064669,0.05157707,0.024627504,0.006651085
8.7,0.39387167,0.34164358,0.33917514,0.24602416,0.09411103,0.053833925,0.02580497,0.0062198064
8.8,0.39894377,0.33931019,0.34996942,0.25096778,0.098491297,0.057595268,0.027923975,0.0069027961
8.9,0.40128732,0.34037204,0.34590051,0.22972225,0.10075113,0.061068256,0.028619219,0.0075035324
9,0.39897108,0.34139825,0.33842408,0.24046367,0.094694392,0.057407123,0.024841667,0.0064482011
9.1,0.39269057,0.33420147,0.32408862,0.22469328,0.091984381,0.052066059,0.024401182,0.0058613339
9.2,0.39194882,0.33353961,0.31683442,0.21338108,0.092073138,0.050340319,0.026998287,0.0062942491
9.3,0.39294391,0.33146953,0.31117008,0.20638036,0.086378862,0.047909849,0.027789562,0.0068743087
9.4,0.39116484,0.32318358,0.3061599,0.21015962,0.087096303,0.049550536,0.026172596,0.0065881125
9.5,0.38776705,0.32274543,0.29944912,0.20354182,0.083406412,0.04650019,0.024744258,0.0061798124
9.6,0.3830639,0.32030686,0.2922495,0.20595271,0.080940177,0.04129381,0.026026054,0.0073499865
9.7,0.37960653,0.31370962,0.28345597,0.19836532,0.079525688,0.040146294,0.027936132,0.0067524156
9.8,0.3826179,0.32038003,0.28405491,0.18633442,0.078269167,0.037043514,0.026652568,0.0064454938
