t,H32_nelson16,H16_nelson16
0,0.5644933645073649,0.48661580599655974
0.01,0.3995565366810873,0.36248110851111726
0.020000000000000004,0.332587112574059,0.3006009848590337
0.030000000000000013,0.2884299417619114,0.2616756028503383
0.04000000000000002,0.25974499510338417,0.23555561878110123
0.05000000000000003,0.23242026385038644,0.21017117374458483
0.06000000000000004,0.21370875350306015,0.18974111734160598
0.07000000000000005,0.1963797992499225,0.17378585633658028
0.08000000000000006,0.1785974003676694,0.15948382019688892
0.09000000000000007,0.16579644508282412,0.1469566588078805
0.10000000000000007,0.15523270204322287,0.13277887825635967
0.11000000000000008,0.14399528151614252,0.12158248718030829
0.12000000000000009,0.12974865659998366,0.1078218818480006
0.1300000000000001,0.1215863268892729,0.09934200900808134
0.1400000000000001,0.1123727074284737,0.0915211036204663
0.1500000000000001,0.10614459919860782,0.08503205749193488
0.16000000000000011,0.09695208845752382,0.07687108858988975
0.17000000000000012,0.09201581093996025,0.07175119020054521
0.18000000000000013,0.08702356712613574,0.06582905849671054
0.19000000000000014,0.08260512419094528,0.06231774694116473
0.20000000000000015,0.07784799425360436,0.05748329858277101
0.21000000000000016,0.07422202942874409,0.052542526664387613
0.22000000000000017,0.07016660584099078,0.04961628321376899
0.23000000000000018,0.06527550993872713,0.04654853839769556
0.24000000000000019,0.06232939755683777,0.043731477136990715
0.25000000000000017,0.06045755013667987,0.04013926587790632
0.2600000000000002,0.0586787577049388,0.0374413973123189
0.2700000000000002,0.05517539570688277,0.0348436065178403
0.2800000000000002,0.05068203973010143,0.031204069315733315
0.2900000000000002,0.04908098378859381,0.028918635525565527
0.3000000000000002,0.04939611293241763,0.02972611668816104
0.3100000000000002,0.04656244621130461,0.02710780458431335
0.32000000000000023,0.04324952899039217,0.025098597500104115
0.33000000000000024,0.044180198691910574,0.023355602599011958
0.34000000000000025,0.04313130618994049,0.022224372182077196
0.35000000000000026,0.04099682757440957,0.020224348272779344
0.36000000000000026,0.04058925448204279,0.02031616231300162
0.3700000000000003,0.03923225276374164,0.02005947420280394
0.3800000000000003,0.03914415556382097,0.01906179153291817
0.3900000000000003,0.03770547552734309,0.018488565632246746
0.4000000000000003,0.03714150033370291,0.017222627674688146
0.4100000000000003,0.03888217831412211,0.01843667158900535
0.4200000000000003,0.03559444645564547,0.016970735698716273
0.4300000000000003,0.03732669517087334,0.017949864942761802
0.44000000000000034,0.036695655952144066,0.017257871240632588
0.45000000000000034,0.03496735324632464,0.01583725448043862
0.46000000000000035,0.03459488607704294,0.01530355560365428
0.47000000000000036,0.03401999309281102,0.01434436922868078
0.48000000000000037,0.03614047070001809,0.015482566444581682
0.4900000000000004,0.03583138887523446,0.014741683458651815
0.5000000000000003,0.03278902040165426,0.014828897741126808
0.5100000000000003,0.034441806292138555,0.014534616286097979
0.5200000000000004,0.03440277305922126,0.013117756351688723
0.5300000000000004,0.03366319725901291,0.012985328288152662
0.5400000000000004,0.030744984884643094,0.012403055254089742
0.5500000000000004,0.032138141608845254,0.012314465415963727
0.5600000000000004,0.0325862042900616,0.01265321116435909
0.5700000000000004,0.0300272478163477,0.011920069935499858
0.5800000000000004,0.0333387993015743,0.012009983569985469
0.5900000000000004,0.03300047125648825,0.012628397647029152
0.6000000000000004,0.03169428451138673,0.01308794578608134
0.6100000000000004,0.029523383776840398,0.012151242533999351
0.6200000000000004,0.03089342165439278,0.01088787981351423
0.6300000000000004,0.030355744885768796,0.01167947751465913
0.6400000000000005,0.03089910328476298,0.011517263841848228
0.6500000000000005,0.030351368828855873,0.011885660498639311
0.6600000000000005,0.03093850307968578,0.00998483508572794
0.6700000000000005,0.03059868240815438,0.010807376020771349
0.6800000000000005,0.03146257235118742,0.011118600239615355
0.6900000000000005,0.03069193209651702,0.011733059910659467
0.7000000000000005,0.029830634306897644,0.010784519155348747
0.7100000000000005,0.029823917636226077,0.00964184198656695
0.7200000000000005,0.031656439222042775,0.010536997350089849
0.7300000000000005,0.030151649198493165,0.010217500320268963
0.7400000000000005,0.028622036428434892,0.010403804724574812
0.7500000000000006,0.0318723905629834,0.01048659887637817
0.7600000000000006,0.029319877199937363,0.010507278782909576
0.7700000000000006,0.03026832175653947,0.010685297993294658
0.7800000000000006,0.03296966772948407,0.011147363040374723
0.7900000000000006,0.029805279896375752,0.009981590840470895
0.8000000000000006,0.030469982092501947,0.010749135209389565
0.8100000000000006,0.028554150707204313,0.00924429600149292
0.8200000000000006,0.03086188042489192,0.010187199727338688
0.8300000000000006,0.0264497427022065,0.00947365858981158
0.8400000000000006,0.027967747543382514,0.00965126876419515
0.8500000000000006,0.030826450313272535,0.00935201286872741
0.8600000000000007,0.028909113372915605,0.009231659798657175
0.8700000000000007,0.028826380810640626,0.009151207471287235
0.8800000000000007,0.028430977110127955,0.00902407021245899
0.8900000000000007,0.027671694683374933,0.008914545207836569
