t,H32_nelson16,H16_nelson16,H32_ctrl,H16_ctrl
0,0.5644933645073649,0.48661580599655974,0.0238012298513871,0.00623477246980173
0.10000000000000007,0.15523270204322287,0.13277887825635967,0.026100736753587088,0.006735779308879507
0.20000000000000015,0.07784799425360436,0.05748329858277101,0.025667578567616662,0.007603811674027157
0.3000000000000002,0.04939611293241763,0.02972611668816104,0.026149490116538953,0.006085013328052987
0.4000000000000003,0.03714150033370291,0.017222627674688146,0.026778764241669258,0.0064055073595213315
0.5000000000000003,0.03278902040165426,0.014828897741126808,0.024903406183793407,0.006117316041898913
0.6000000000000004,0.03169428451138673,0.01308794578608134,0.02620285577447303,0.006656185236770125
0.7000000000000005,0.029830634306897644,0.010784519155348747,0.02537257456409017,0.006143001506315882
0.8000000000000006,0.030469982092501947,0.010749135209389565,0.02536490937072817,0.006998150950263213
0.9000000000000007,0.027359783705185128,0.008295504730014764,0.02599095368612711,0.005869649190878364
1.0000000000000007,0.029758861892550947,0.009978552981362649,0.02820426214385199,0.006706868108504556
1.1000000000000008,0.027095825543533947,0.00723972216143991,0.02627641522267769,0.006803253291637794
1.2000000000000008,0.028359105320776345,0.0072543853984760424,0.026908622149236,0.00636374927571732
1.300000000000001,0.026036099228696704,0.0061876498703869855,0.0276507206709095,0.00650492724324588
1.400000000000001,0.029923494478521807,0.007468735413267046,0.025257514530586552,0.005860577797398044
1.500000000000001,0.02618800370320323,0.006969765137660568,0.024196720258333748,0.006555835430057877
1.6000000000000012,0.02566539081055946,0.006031752788049806,0.025835732696713257,0.006534422891470478
1.7000000000000013,0.027980955877274373,0.0073561339860037855,0.02574969351354061,0.006240996008033937
1.8000000000000014,0.025254110961122785,0.007057386086322887,0.024632334067420724,0.0068054616653123595
1.9000000000000015,0.027512734024994438,0.0064749407473831296,0.027096082476696787,0.006605347390712433
2.0000000000000013,0.026894246494086137,0.0075959023384975614,0.02736252544587713,0.006958553719184936
2.0999999999999903,0.025081588666258998,0.0071623873864099285,0.026086605661433684,0.007244041597423683
2.1999999999999793,0.029141300011074654,0.007865993909730239,0.029499967578933403,0.007558710809657906
2.2999999999999683,0.025068270195863985,0.005992373491493641,0.02462524438562962,0.006435888324740506
2.3999999999999573,0.026837787500269775,0.006654680001659208,0.028618059485579272,0.00657480475180446
2.4999999999999463,0.02539191739302363,0.00736049550068616,0.02771003842147748,0.00627799643143795
2.5999999999999353,0.028190128346592732,0.00615895034037041,0.025159577303119667,0.006577259089025083
2.6999999999999242,0.027650439416116234,0.007351799875760897,0.026826770423846256,0.007173313159631703
2.7999999999999132,0.025012385650553966,0.006795760473406517,0.02487753679792414,0.0059565141913946705
2.899999999999902,0.025896552884073214,0.0064594651750676845,0.026931826345399104,0.006559373181346136
2.999999999999891,0.025045768345512098,0.0061835901196647496,0.024607002601200016,0.005760621500522241
3.09999999999988,0.027235204205265953,0.006741549501466082,0.02657527762590296,0.007427904077284095
3.199999999999869,0.027371498745382104,0.006735654956206917,0.025397883527332646,0.00641543628323888
3.299999999999858,0.02548693222083589,0.006263298958304411,0.024740041738644344,0.006761439444101312
3.399999999999847,0.024647625905299814,0.00548434585097885,0.02530476557727653,0.0061533311367662925
3.499999999999836,0.027039946501637224,0.006363219766587266,0.028865662311395958,0.008430397847135722
3.599999999999825,0.02649442547162558,0.00752265613150914,0.025977522245140352,0.00692082280810368
3.699999999999814,0.026819261328076837,0.006197872376274969,0.026280710149767635,0.00618268116514086
3.799999999999803,0.026590220511083746,0.006746777621941653,0.02513919676477142,0.006028030468870053
3.899999999999792,0.025106154800113547,0.006047897287902568,0.02678034397478121,0.006523836428697924
3.999999999999781,0.02636138613392205,0.006438869642254113,0.024606610077696583,0.006218595352940572
4.0999999999997705,0.026065855322059052,0.007486513714571318,0.024870643436390772,0.0064235832312654105
4.1999999999997595,0.024078097002090477,0.005612564454186074,0.024202658124199743,0.005364469338210132
4.2999999999997485,0.02745211897616488,0.006749698654313305,0.02564697767728377,0.006081908058211838
4.3999999999997375,0.02562212457643076,0.0057712245504993485,0.02594295034303048,0.006598324082235421
4.499999999999726,0.026521651570516995,0.0058892623356009985,0.02658781513476249,0.00632205536453196
4.599999999999715,0.027005709655524325,0.006655164627264368,0.02468671007989737,0.005656482620624853
4.699999999999704,0.02658228820579278,0.0063259336368873455,0.02606753346456881,0.006261556952811965
4.799999999999693,0.02601988585879112,0.006485703003765632,0.02676982399470744,0.0065297957120336045
4.899999999999682,0.027153578113382607,0.006675304086346755,0.026549294122037454,0.006148179942609714
4.999999999999671,0.02532996424422805,0.006353734297487538,0.02494123783942644,0.006049168169302028
5.09999999999966,0.026335315093658655,0.00694075749328003,0.02608432223450688,0.006636419447935971
5.199999999999649,0.02717474741374867,0.00659616061795115,0.02694114511806727,0.007818278880367237
5.299999999999638,0.026622848134269465,0.006328330331423993,0.025566199802007365,0.005613166049174605
5.399999999999627,0.02524689724801154,0.007175584268605635,0.027030246992955437,0.006823466209679743
5.499999999999616,0.024780794409431543,0.007189383645218972,0.028142690560314647,0.0077704413225620945
5.599999999999605,0.024553836143851836,0.00526846129159124,0.025982026283778784,0.0058945208954694454
5.699999999999594,0.026914132111375888,0.0065763304563550085,0.025239842711601884,0.006567836991375875
5.799999999999583,0.02464046841358361,0.00669289813987834,0.026326428718127508,0.006722419625750536
5.899999999999572,0.025774507984983236,0.006758737267238413,0.02616521492249675,0.0072276718773658455
5.999999999999561,0.024970476727989827,0.006131061149435149,0.02595718242694981,0.006007749340894856
6.09999999999955,0.025252589412915704,0.006254061161595031,0.024702158965803262,0.006120928554164448
6.199999999999539,0.024917802761130894,0.006340115683061555,0.025556990740469486,0.006067579443860718
6.299999999999528,0.026244429982013515,0.0066898250652433254,0.026927798179364346,0.007112816101323415
6.399999999999517,0.0265888964195393,0.0063700035946543596,0.02476363128168806,0.006737472112824559
6.499999999999506,0.027308000560031024,0.006101785589587044,0.024949707604309698,0.005848758006246616
6.599999999999495,0.02700611540232628,0.006899537530969726,0.0282509040384746,0.007966436627483486
6.699999999999484,0.025365526641018023,0.006472089522659269,0.02727696757439529,0.005826961405222108
6.799999999999473,0.0254243716318174,0.00625806329559177,0.025706168335051092,0.005911220949394466
6.899999999999462,0.026898056778509007,0.006108859678913326,0.02441554939394181,0.005640614892577354
6.999999999999451,0.026896188622227285,0.005735324530028032,0.026105568761270764,0.005599705916194732
7.09999999999944,0.026581534972483195,0.006147662178415247,0.02658419642789274,0.0067501373743741305
7.199999999999429,0.025264198153164604,0.006280368223035053,0.02751400252299198,0.006323513056051948
7.299999999999418,0.027668408359190676,0.0065431194674727055,0.027290218217804682,0.00624053829788251
7.399999999999407,0.02781190348382025,0.007177062726009911,0.02709955482483267,0.005741688024795861
7.499999999999396,0.027004072761382995,0.006092523895646208,0.02788137921514697,0.007174839387018425
7.599999999999385,0.028040657474730776,0.007389974721545985,0.024883389400953485,0.006517448966782559
7.699999999999374,0.02568343599027325,0.005925740071478754,0.024030497409186117,0.005677045962046229
7.799999999999363,0.02468426918270263,0.006435135155498217,0.02602087702983093,0.006299085570779761
7.899999999999352,0.025367498063060066,0.006192517146069821,0.025544727162714127,0.0061946723982481055
7.999999999999341,0.02400592251608849,0.00602449193127439,0.02791023944697686,0.008215429470373162
8.099999999999374,0.02707083014789154,0.006696757073225204,0.02688812071312224,0.006301439092360697
8.199999999999408,0.0260388759976002,0.007077250941410925,0.02616910054608707,0.006802967862820598
8.299999999999441,0.024533701669401536,0.0060673909282289214,0.02759696533599877,0.007285623767002536
8.399999999999475,0.02682412187014357,0.006998851423774897,0.024964362063063676,0.006186166100054105
8.499999999999508,0.025517294365783483,0.006031141909608637,0.024358924739606245,0.006056591236947292
8.599999999999541,0.028100590251670814,0.006861447462624517,0.024528176585718847,0.005927583698515056
8.699999999999575,0.0250193352483899,0.006515217529253968,0.025853533526930903,0.005835131666395623
8.799999999999608,0.028304612569081053,0.007637185713644377,0.02661998577735315,0.006482932651474951
8.899999999999642,0.027873488789521682,0.007555657927264535,0.027430180436684878,0.006976333163531819
8.999999999999675,0.02581947820469788,0.006815085965571213,0.02674072554380656,0.007036307569970004
9.099999999999708,0.025940160607223425,0.007023500900396931,0.028343605768810332,0.007125295898455086
9.199999999999742,0.02483345298267957,0.0061816953893736445,0.028666008203801083,0.007438105364337774
9.299999999999775,0.02655833030626087,0.006773103800388474,0.02693172365656039,0.006940550675571584
9.399999999999809,0.02571317576531696,0.006997103979963714,0.02749945587804476,0.006970272455173893
9.499999999999842,0.02650077942757175,0.00750815005657592,0.02622395779556872,0.006149063448972148
9.599999999999875,0.02514744869042495,0.006192259861144026,0.025950095674713923,0.006886026473700925
9.699999999999909,0.025080278357546906,0.00602349242493921,0.024964261517875154,0.0058803526090353475
9.799999999999942,0.025484459941293346,0.0055406917014128605,0.026675013954692187,0.006038275884782036
9.899999999999975,0.024944520696147346,0.006180003825332377,0.027460979291793638,0.006488504291310836
10.000000000000009,0.026897913642762054,0.006745383175285092,0.026104981923568894,0.006636119957368367
10.100000000000042,0.025403167299818,0.006320013296477206,0.027617025404280123,0.008038524540845342
10.200000000000076,0.026506911293187514,0.006655271286858622,0.026518181764869534,0.006559418091799991
